There were 22762 Peaks found from m/z=   168.97    to m/z=   914.56.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE ION MODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise threshold: 0.011372        Peak threshold: 0.016245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration parameters: A = 144218504.692816 , B = -434117778.324974 and Trap Plate Voltage = -1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center of Mass for the Assigned Window is   497.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 There were ,11328 odd peaks, and ,11434 even peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,Odd/Even,Nom. Z,KMD,Series Fit,DBE,Group,,Molecular Formula,,,,,,,,,,,,,,,,,
41,566.47311,6.2336,714521.54,565.8406,566,1,-8,159,2,12,,N1 ,,C,41,H,60,N,1,,,,,,,,,,,
42,580.48878,5.1713,693879.94,579.8406,580,1,-8,159,2,12,,N1 ,,C,42,H,62,N,1,,,,,,,,,,,
43,594.50444,4.8056,686282.95,593.8406,594,1,-8,159,2,12,,N1 ,,C,43,H,64,N,1,,,,,,,,,,,
44,608.5201,4.1647,674636.03,607.8407,608,1,-8,159,2,12,,N1 ,,C,44,H,66,N,1,,,,,,,,,,,
45,622.53574,3.7053,651917.02,621.8406,622,1,-8,159,2,12,,N1 ,,C,45,H,68,N,1,,,,,,,,,,,
46,636.55142,2.7207,628251.94,635.8407,636,1,-8,159,2,12,,N1 ,,C,46,H,70,N,1,,,,,,,,,,,
47,650.56706,2.7889,624041.98,649.8407,650,1,-8,159,2,12,,N1 ,,C,47,H,72,N,1,,,,,,,,,,,
48,664.58272,2.5664,620629.02,663.8407,664,1,-8,159,2,12,,N1 ,,C,48,H,74,N,1,,,,,,,,,,,
49,678.59836,2.1654,592586,677.8407,678,1,-8,159,2,12,,N1 ,,C,49,H,76,N,1,,,,,,,,,,,
50,692.61401,1.719,582868.26,691.8407,692,1,-8,159,2,12,,N1 ,,C,50,H,78,N,1,,,,,,,,,,,
51,706.62967,1.4261,561883.75,705.8407,706,1,-8,159,2,12,,N1 ,,C,51,H,80,N,1,,,,,,,,,,,
52,720.64535,1.4497,561635.68,719.8407,720,1,-8,159,2,12,,N1 ,,C,52,H,82,N,1,,,,,,,,,,,
53,734.66098,1.4031,550384.95,733.8407,734,1,-8,159,2,12,,N1 ,,C,53,H,84,N,1,,,,,,,,,,,
54,748.67663,1.3248,541873.15,747.8407,748,1,-8,159,2,12,,N1 ,,C,54,H,86,N,1,,,,,,,,,,,
55,762.69227,1.1211,527040.06,761.8407,762,1,-8,159,2,12,,N1 ,,C,55,H,88,N,1,,,,,,,,,,,
56,776.70792,0.9244,509253.35,775.8407,776,1,-8,159,2,12,,N1 ,,C,56,H,90,N,1,,,,,,,,,,,
57,790.72356,0.8671,505898.94,789.8407,790,1,-8,159,2,12,,N1 ,,C,57,H,92,N,1,,,,,,,,,,,
58,804.73921,0.825,504568.55,803.8407,804,1,-8,159,2,12,,N1 ,,C,58,H,94,N,1,,,,,,,,,,,
59,818.75486,0.6628,483053.46,817.8407,818,1,-8,159,2,12,,N1 ,,C,59,H,96,N,1,,,,,,,,,,,
60,832.77047,0.4919,476845.56,831.8406,832,1,-8,159,2,12,,N1 ,,C,60,H,98,N,1,,,,,,,,,,,
61,846.78612,0.4121,470156.31,845.8406,846,1,-8,159,2,12,,N1 ,,C,61,H,100,N,1,,,,,,,,,,,
62,860.80176,0.3815,456938.82,859.8406,860,1,-8,159,2,12,,N1 ,,C,62,H,102,N,1,,,,,,,,,,,
63,874.81743,0.3306,440197.17,873.8407,874,1,-8,159,2,12,,N1 ,,C,63,H,104,N,1,,,,,,,,,,,
64,888.83307,0.3086,454341.5,887.8406,888,1,-8,159,2,12,,N1 ,,C,64,H,106,N,1,,,,,,,,,,,
65,902.8487,0.2821,442320.01,901.8406,902,1,-8,159,2,12,,N1 ,,C,65,H,108,N,1,,,,,,,,,,,
66,384.26959,21.393,1060212.25,383.8405,384,1,-8,159,3,12,,N1 ,,C,28,H,34,N,1,,,,,,,,,,,
67,256.11321,0.2678,1623395.51,255.8273,256,1,-10,173,4,13,,N1 ,,C,19,H,14,N,1,,,,,,,,,,,
68,270.12885,1.1854,1506664.68,269.8272,270,1,-10,173,4,13,,N1 ,,C,20,H,16,N,1,,,,,,,,,,,
69,284.14449,3.9602,1408225.98,283.8272,284,1,-10,173,4,13,,N1 ,,C,21,H,18,N,1,,,,,,,,,,,
70,298.16012,7.6149,1362946.54,297.8272,298,1,-10,173,4,13,,N1 ,,C,22,H,20,N,1,,,,,,,,,,,
71,312.17576,13.5725,1326279.3,311.8272,312,1,-10,173,4,13,,N1 ,,C,23,H,22,N,1,,,,,,,,,,,
72,326.1914,17.4293,1285074.14,325.8272,326,1,-10,173,4,13,,N1 ,,C,24,H,24,N,1,,,,,,,,,,,
73,340.20704,17.0759,1214676.83,339.8272,340,1,-10,173,4,13,,N1 ,,C,25,H,26,N,1,,,,,,,,,,,
74,354.22267,20.2138,1160203.59,353.8272,354,1,-10,173,4,13,,N1 ,,C,26,H,28,N,1,,,,,,,,,,,
75,368.2383,20.6235,1112951.17,367.8271,368,1,-10,173,4,13,,N1 ,,C,27,H,30,N,1,,,,,,,,,,,
76,396.2696,13.5227,1020387.71,395.8271,396,1,-10,173,4,13,,N1 ,,C,29,H,34,N,1,,,,,,,,,,,
77,410.28525,16.9199,997365.26,409.8271,410,1,-10,173,4,13,,N1 ,,C,30,H,36,N,1,,,,,,,,,,,
78,424.3009,15.613,959068.57,423.8271,424,1,-10,173,4,13,,N1 ,,C,31,H,38,N,1,,,,,,,,,,,
79,438.31655,13.7963,930740.85,437.8271,438,1,-10,173,4,13,,N1 ,,C,32,H,40,N,1,,,,,,,,,,,
80,452.3322,13.3725,900040.68,451.8272,452,1,-10,173,4,13,,N1 ,,C,33,H,42,N,1,,,,,,,,,,,
81,466.34787,10.1398,870921.11,465.8272,466,1,-10,173,4,13,,N1 ,,C,34,H,44,N,1,,,,,,,,,,,
82,480.36351,10.608,846094.7,479.8272,480,1,-10,173,4,13,,N1 ,,C,35,H,46,N,1,,,,,,,,,,,
83,494.37917,9.5344,815897.41,493.8272,494,1,-10,173,4,13,,N1 ,,C,36,H,48,N,1,,,,,,,,,,,
84,508.39483,9.0074,797121.67,507.8272,508,1,-10,173,4,13,,N1 ,,C,37,H,50,N,1,,,,,,,,,,,
85,522.41048,8.3849,774136.16,521.8272,522,1,-10,173,4,13,,N1 ,,C,38,H,52,N,1,,,,,,,,,,,
86,536.42614,7.4263,750735.25,535.8272,536,1,-10,173,4,13,,N1 ,,C,39,H,54,N,1,,,,,,,,,,,
87,550.4418,6.4336,727023.54,549.8272,550,1,-10,173,4,13,,N1 ,,C,40,H,56,N,1,,,,,,,,,,,
88,564.45746,5.9196,712928.44,563.8272,564,1,-10,173,4,13,,N1 ,,C,41,H,58,N,1,,,,,,,,,,,
89,578.47313,4.8535,691086.48,577.8272,578,1,-10,173,4,13,,N1 ,,C,42,H,60,N,1,,,,,,,,,,,
90,592.48878,4.7667,689799.62,591.8272,592,1,-10,173,4,13,,N1 ,,C,43,H,62,N,1,,,,,,,,,,,
91,606.50445,4.2124,672724.81,605.8273,606,1,-10,173,4,13,,N1 ,,C,44,H,64,N,1,,,,,,,,,,,
92,620.52008,3.7032,653570.24,619.8272,620,1,-10,173,4,13,,N1 ,,C,45,H,66,N,1,,,,,,,,,,,
93,634.53577,2.8348,633886.84,633.8273,634,1,-10,173,4,13,,N1 ,,C,46,H,68,N,1,,,,,,,,,,,
94,648.55142,2.6809,619688.51,647.8273,648,1,-10,173,4,13,,N1 ,,C,47,H,70,N,1,,,,,,,,,,,
95,662.56706,2.5925,611967.58,661.8273,662,1,-10,173,4,13,,N1 ,,C,48,H,72,N,1,,,,,,,,,,,
96,676.58271,2.2088,598352.22,675.8273,676,1,-10,173,4,13,,N1 ,,C,49,H,74,N,1,,,,,,,,,,,
97,690.59836,1.8242,578094.07,689.8273,690,1,-10,173,4,13,,N1 ,,C,50,H,76,N,1,,,,,,,,,,,
98,704.61402,1.4855,561397.19,703.8273,704,1,-10,173,4,13,,N1 ,,C,51,H,78,N,1,,,,,,,,,,,
99,718.6297,1.4878,563660.19,717.8273,718,1,-10,173,4,13,,N1 ,,C,52,H,80,N,1,,,,,,,,,,,
100,732.64532,1.4363,550989.3,731.8273,732,1,-10,173,4,13,,N1 ,,C,53,H,82,N,1,,,,,,,,,,,
101,746.66099,1.3364,536441.64,745.8273,746,1,-10,173,4,13,,N1 ,,C,54,H,84,N,1,,,,,,,,,,,
