There were 22762 Peaks found from m/z=   168.97    to m/z=   914.56.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE ION MODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise threshold: 0.011372        Peak threshold: 0.016245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration parameters: A = 144218504.692816 , B = -434117778.324974 and Trap Plate Voltage = -1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center of Mass for the Assigned Window is   497.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 There were ,11328 odd peaks, and ,11434 even peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,Odd/Even,Nom. Z,KMD,Series Fit,DBE,Group,,Molecular Formula,,,,,,,,,,,,,,,,,
7205,706.50276,0.0487,577168.68,705.7139,706,1,-8,286,926,15,,N1 O1 S1 ,,C,48,H,68,N,1,O,1,S,1,,,,,,,
7206,720.51837,0.0479,502413.88,719.7139,720,1,-8,286,926,15,,N1 O1 S1 ,,C,49,H,70,N,1,O,1,S,1,,,,,,,
7207,734.534,0.0659,585641.5,733.7139,734,1,-8,286,926,15,,N1 O1 S1 ,,C,50,H,72,N,1,O,1,S,1,,,,,,,
7208,748.54949,0.0773,523863.91,747.7137,748,1,-8,286,926,15,,N1 O1 S1 ,,C,51,H,74,N,1,O,1,S,1,,,,,,,
7209,762.56524,0.0542,469716.67,761.7138,762,1,-8,286,926,15,,N1 O1 S1 ,,C,52,H,76,N,1,O,1,S,1,,,,,,,
7210,776.58098,0.0481,504890.63,775.7139,776,1,-8,286,926,15,,N1 O1 S1 ,,C,53,H,78,N,1,O,1,S,1,,,,,,,
7211,790.59649,0.0533,490221.95,789.7137,790,1,-8,286,926,15,,N1 O1 S1 ,,C,54,H,80,N,1,O,1,S,1,,,,,,,
7212,804.61229,0.0492,124503.58,803.7139,804,1,-8,286,926,15,,N1 O1 S1 ,,C,55,H,82,N,1,O,1,S,1,,,,,,,
7213,832.64344,0.0418,411583.69,831.7137,832,1,-8,286,926,15,,N1 O1 S1 ,,C,57,H,86,N,1,O,1,S,1,,,,,,,
7214,368.23117,0.0454,1158512.88,367.82,368,1,-10,180,927,0,,,No Hit,,,,,,,,,,,,,,,,,
7215,424.2938,0.0679,854142.66,423.8201,424,1,-10,180,927,0,,,No Hit,,,,,,,,,,,,,,,,,
7216,494.37217,0.0387,874441.96,493.8202,494,1,-10,180,927,0,,,No Hit,,,,,,,,,,,,,,,,,
7217,522.40343,0.0676,704339.89,521.8201,522,1,-10,180,927,0,,,No Hit,,,,,,,,,,,,,,,,,
7218,550.43459,0.0406,578695.88,549.82,550,1,-10,180,927,0,,,No Hit,,,,,,,,,,,,,,,,,
7219,578.46575,0.0379,545521.46,577.8199,578,1,-10,180,927,0,,,No Hit,,,,,,,,,,,,,,,,,
7220,690.59092,0.0407,196998.91,689.8198,690,1,-10,180,927,0,,,No Hit,,,,,,,,,,,,,,,,,
7221,760.66923,0.0816,261321.68,759.8199,760,1,-10,180,927,0,,,No Hit,,,,,,,,,,,,,,,,,
7222,418.34553,0.0816,764200.93,417.8784,418,1,-2,122,928,0,,,No Hit,,,,,,,,,,,,,,,,,
7223,616.42199,0.0816,647026.13,615.7337,616,1,-14,266,929,0,,,No Hit,,,,,,,,,,,,,,,,,
7224,520.11554,0.0814,485523.22,519.5348,520,1,-12,465,930,0,,,No Hit,,,,,,,,,,,,,,,,,
7225,904.8601,0.0814,251117.8,903.8498,904,1,-6,150,931,0,,,No Hit,,,,,,,,,,,,,,,,,
7226,780.19044,0.0814,227821.79,779.3193,780,1,-5,-319,932,0,,,No Hit,,,,,,,,,,,,,,,,,
7227,814.11234,0.0465,132046.84,813.2033,814,1,-13,-203,933,48,,N1 O4 S1 ,,C,57,H,20,N,1,O,4,S,1,,,,,,,
7228,898.20645,0.0813,43761.57,897.2036,898,1,-13,-204,933,48,,N1 O4 S1 ,,C,63,H,32,N,1,O,4,S,1,,,,,,,
7229,558.32415,0.0811,670553.82,557.7008,558,1,-2,299,934,0,,,No Hit,,,,,,,,,,,,,,,,,
7230,342.30534,0.081,657565.84,341.9231,342,1,-8,77,935,0,,,No Hit,,,,,,,,,,,,,,,,,
7231,334.25545,0.0809,1017956.31,333.8822,334,1,-2,118,936,0,,,No Hit,,,,,,,,,,,,,,,,,
7232,664.32805,0.0809,489428.04,663.5863,664,1,-8,414,937,0,,,No Hit,,,,,,,,,,,,,,,,,
7233,842.61001,0.0809,313245.53,841.6692,842,1,-12,331,938,18,,N1 O4 ,,C,57,H,80,N,1,O,4,,,,,,,,,
7234,744.39435,0.0808,191316.44,743.5632,744,1,-12,437,939,15,,N1 O2 S3 ,,C,45,H,62,N,1,O,2,S,3,,,,,,,
7235,772.6216,0.0808,287463.91,771.7589,772,1,-12,241,940,0,,,No Hit,,,,,,,,,,,,,,,,,
7236,774.55282,0.0808,396840.93,773.688,774,1,-10,312,941,7,,N1 O4 S2 ,,C,46,H,80,N,1,O,4,S,2,,,,,,,
7237,204.13567,0.0808,1901248.46,203.9077,204,1,-6,92,942,0,,,No Hit,,,,,,,,,,,,,,,,,
7238,814.10374,0.0807,250209.94,813.1948,814,1,-13,-195,943,0,,,No Hit,,,,,,,,,,,,,,,,,
7239,880.72509,0.0807,502296.65,879.7417,880,1,-2,258,944,3,,N1 O4 S2 ,,C,53,H,102,N,1,O,4,S,2,,,,,,,
7240,908.75632,0.0785,391312.86,907.7416,908,1,-2,258,944,3,,N1 O4 S2 ,,C,55,H,106,N,1,O,4,S,2,,,,,,,
7241,372.26778,0.0778,1108505.39,371.8521,372,1,-6,148,945,0,,,No Hit,,,,,,,,,,,,,,,,,
7242,386.28332,0.0806,976833.4,385.852,386,1,-6,148,945,0,,,No Hit,,,,,,,,,,,,,,,,,
7243,540.45544,0.0435,1028827.3,539.852,540,1,-6,148,945,0,,,No Hit,,,,,,,,,,,,,,,,,
7244,624.54947,0.057,719045.71,623.8521,624,1,-6,148,945,0,,,No Hit,,,,,,,,,,,,,,,,,
7245,767.87573,0.0805,409136.86,767.0184,768,1,-3,-18,946,0,,,No Hit,,,,,,,,,,,,,,,,,
7246,730.61216,0.0805,535292.23,729.7964,730,1,-12,204,947,0,,,No Hit,,,,,,,,,,,,,,,,,
7247,388.30901,0.0805,1071982.46,387.8754,388,1,-4,125,948,0,,,No Hit,,,,,,,,,,,,,,,,,
7248,808.81104,0.0805,456777.93,807.908,808,1,-4,92,949,0,,,No Hit,,,,,,,,,,,,,,,,,
7249,744.38152,0.0803,274646.14,743.5504,744,1,-12,450,950,0,,,No Hit,,,,,,,,,,,,,,,,,
7250,780.17782,0.0803,371783.12,779.3067,780,1,-5,-307,951,0,,,No Hit,,,,,,,,,,,,,,,,,
7251,681.83506,0.0803,640038.01,681.0738,682,1,-5,-74,952,0,,,No Hit,,,,,,,,,,,,,,,,,
7252,226.16718,0.0803,1503690.09,225.9147,226,1,-12,85,953,0,,,No Hit,,,,,,,,,,,,,,,,,
7253,808.73684,0.0803,549775.03,807.8338,808,1,-4,166,954,6,,N1 O1 S1 ,,C,54,H,98,N,1,O,1,S,1,,,,,,,
7254,633.90053,0.0803,266241.27,633.1927,634,1,-11,-193,955,0,,,No Hit,,,,,,,,,,,,,,,,,
7255,454.14778,0.0802,367746.22,453.6407,454,1,-8,359,956,0,,,No Hit,,,,,,,,,,,,,,,,,
7256,664.38273,0.0603,246935.29,663.6409,664,1,-8,359,956,0,,,No Hit,,,,,,,,,,,,,,,,,
7257,515.70889,0.0802,378488.41,515.1331,516,1,-3,-133,957,0,,,No Hit,,,,,,,,,,,,,,,,,
7258,406.26551,0.0801,907878.73,405.8119,406,1,-14,188,958,0,,,No Hit,,,,,,,,,,,,,,,,,
7259,198.13562,0.0801,1875058.4,197.9144,198,1,-12,86,959,0,,,No Hit,,,,,,,,,,,,,,,,,
7260,808.70945,0.0801,266578.73,807.8065,808,1,-4,193,960,0,,,No Hit,,,,,,,,,,,,,,,,,
7261,474.49731,0.08,595365.4,473.9675,474,1,-2,32,961,0,,,No Hit,,,,,,,,,,,,,,,,,
7262,190.11991,0.0799,1959699.13,189.9076,190,1,-6,92,962,0,,,No Hit,,,,,,,,,,,,,,,,,
7263,712.39637,0.0618,274651.7,711.6009,712,1,-2,399,963,0,,,No Hit,,,,,,,,,,,,,,,,,
7264,726.41203,0.0798,270850.56,725.601,726,1,-2,399,963,0,,,No Hit,,,,,,,,,,,,,,,,,
7265,764.46907,0.0798,697208.53,763.6155,764,1,-6,384,964,22,,N1 O4 ,,C,52,H,62,N,1,O,4,,,,,,,,,
7266,908.263,0.0798,702951.62,907.2489,908,1,-3,-249,965,48,,N1 O2 S1 ,,C,66,H,38,N,1,O,2,S,1,,,,,,,
7267,866.26595,0.0798,534326.64,865.2987,866,1,-3,-299,966,0,,,No Hit,,,,,,,,,,,,,,,,,
7268,866.68177,0.0797,384861.2,865.7141,866,1,-2,286,967,18,,N1 O2 ,,C,61,H,88,N,1,O,2,,,,,,,,,
7269,840.5727,0.0797,461739.92,839.6342,840,1,-14,366,968,24,,N1 O2 ,,C,60,H,74,N,1,O,2,,,,,,,,,
7270,848.12089,0.0797,195361.47,847.1739,848,1,-7,-174,969,42,,N1 O6 S2 ,,C,54,H,26,N,1,O,6,S,2,,,,,,,
7271,240.14532,0.0764,1761837.84,239.8772,240,1,-12,123,970,0,,,No Hit,,,,,,,,,,,,,,,,,
7272,254.16096,0.0796,1578748.99,253.8772,254,1,-12,123,970,0,,,No Hit,,,,,,,,,,,,,,,,,
7273,814.12296,0.0796,259942.84,813.214,814,1,-13,-214,971,57,,N1 O1 ,,C,64,H,16,N,1,O,1,,,,,,,,,
7274,326.19279,0.0795,1138123.03,325.8286,326,1,-10,171,972,0,,,No Hit,,,,,,,,,,,,,,,,,
7275,520.13085,0.0457,685567.44,519.5501,520,1,-12,450,973,0,,,No Hit,,,,,,,,,,,,,,,,,
7276,674.30305,0.0795,384915.98,673.5502,674,1,-12,450,973,0,,,No Hit,,,,,,,,,,,,,,,,,
7277,464.22941,0.0387,948587.91,463.7111,464,1,-12,289,974,22,,N1 13C2 ,#,C,33,H,28,N,1,,,,,,,13C,2, ,,
7278,478.24495,0.0504,778495.35,477.711,478,1,-12,289,974,22,,N1 13C2 ,#,C,34,H,30,N,1,,,,,,,13C,2, ,,
7279,492.26072,0.0518,763380.27,491.7111,492,1,-12,289,974,22,,N1 13C2 ,#,C,35,H,32,N,1,,,,,,,13C,2, ,,
7280,506.27636,0.0602,817005.8,505.7111,506,1,-12,289,974,22,,N1 13C2 ,#,C,36,H,34,N,1,,,,,,,13C,2, ,,
7281,520.292,0.0749,730346.58,519.7111,520,1,-12,289,974,22,,N1 13C2 ,#,C,37,H,36,N,1,,,,,,,13C,2, ,,
7282,534.30767,0.0564,639763.55,533.7111,534,1,-12,289,974,22,,N1 13C2 ,#,C,38,H,38,N,1,,,,,,,13C,2, ,,
7283,548.32331,0.0708,712579.19,547.7111,548,1,-12,289,974,22,,N1 13C2 ,#,C,39,H,40,N,1,,,,,,,13C,2, ,,
7284,562.33898,0.0624,701823.06,561.7111,562,1,-12,289,974,22,,N1 13C2 ,#,C,40,H,42,N,1,,,,,,,13C,2, ,,
7285,576.35458,0.0556,660490.58,575.711,576,1,-12,289,974,22,,N1 13C2 ,#,C,41,H,44,N,1,,,,,,,13C,2, ,,
7286,590.37034,0.0647,591340.8,589.7112,590,1,-12,289,974,22,,N1 13C2 ,#,C,42,H,46,N,1,,,,,,,13C,2, ,,
7287,604.38595,0.0721,629842.26,603.7111,604,1,-12,289,974,22,,N1 13C2 ,#,C,43,H,48,N,1,,,,,,,13C,2, ,,
7288,618.40167,0.0654,618825.64,617.7112,618,1,-12,289,974,22,,N1 13C2 ,#,C,44,H,50,N,1,,,,,,,13C,2, ,,
7289,632.41723,0.0703,612526.16,631.7111,632,1,-12,289,974,22,,N1 13C2 ,#,C,45,H,52,N,1,,,,,,,13C,2, ,,
7290,646.43293,0.0576,635577.24,645.7112,646,1,-12,289,974,22,,N1 13C2 ,#,C,46,H,54,N,1,,,,,,,13C,2, ,,
7291,660.44865,0.076,562976.5,659.7112,660,1,-12,289,974,22,,N1 13C2 ,#,C,47,H,56,N,1,,,,,,,13C,2, ,,
7292,674.4644,0.0563,322309.59,673.7113,674,1,-12,289,974,22,,N1 13C2 ,#,C,48,H,58,N,1,,,,,,,13C,2, ,,
7293,688.47986,0.0647,531128.07,687.7111,688,1,-12,289,974,22,,N1 13C2 ,#,C,49,H,60,N,1,,,,,,,13C,2, ,,
7294,702.49559,0.0719,440150.8,701.7112,702,1,-12,289,974,22,,N1 13C2 ,#,C,50,H,62,N,1,,,,,,,13C,2, ,,
7295,716.51126,0.0459,401481.43,715.7112,716,1,-12,289,974,22,,N1 13C2 ,#,C,51,H,64,N,1,,,,,,,13C,2, ,,
7296,730.52681,0.0758,557425.5,729.7111,730,1,-12,289,974,22,,N1 13C2 ,#,C,52,H,66,N,1,,,,,,,13C,2, ,,
7297,744.54254,0.0646,473776.77,743.7112,744,1,-12,289,974,22,,N1 13C2 ,#,C,53,H,68,N,1,,,,,,,13C,2, ,,
7298,758.55807,0.0698,494470.45,757.7111,758,1,-12,289,974,22,,N1 13C2 ,#,C,54,H,70,N,1,,,,,,,13C,2, ,,
7299,772.57384,0.0794,507426.03,771.7112,772,1,-12,289,974,22,,N1 13C2 ,#,C,55,H,72,N,1,,,,,,,13C,2, ,,
7300,800.6051,0.0602,394706.85,799.7112,800,1,-12,289,974,22,,N1 13C2 ,#,C,57,H,76,N,1,,,,,,,13C,2, ,,
7301,814.62066,0.0498,477280.97,813.7111,814,1,-12,289,974,22,,N1 13C2 ,#,C,58,H,78,N,1,,,,,,,13C,2, ,,
7302,828.63629,0.0555,452346.95,827.7111,828,1,-12,289,974,22,,N1 13C2 ,#,C,59,H,80,N,1,,,,,,,13C,2, ,,
7303,884.69892,0.0417,462878.93,883.7111,884,1,-12,289,974,22,,N1 13C2 ,#,C,63,H,88,N,1,,,,,,,13C,2, ,,
7304,898.71451,0.0387,360729.83,897.7111,898,1,-12,289,974,22,,N1 13C2 ,#,C,64,H,90,N,1,,,,,,,13C,2, ,,
7305,912.72997,0.0437,393374.26,911.7109,912,1,-12,289,974,22,,N1 13C2 ,#,C,65,H,92,N,1,,,,,,,13C,2, ,,
7306,419.69124,0.0535,928515.71,419.2226,420,1,-1,-223,975,0,,,No Hit,,,,,,,,,,,,,,,,,
7307,798.11373,0.0794,216124.21,797.2226,798,1,-1,-223,975,0,,,No Hit,,,,,,,,,,,,,,,,,
7308,290.19254,0.0793,1199215.89,289.8685,290,1,-4,131,976,0,,,No Hit,,,,,,,,,,,,,,,,,
7309,654.34868,0.0793,231428.08,653.6181,654,1,-4,382,977,0,,,No Hit,,,,,,,,,,,,,,,,,
7310,726.62199,0.0792,570603.4,725.8107,726,1,-2,189,978,0,,,No Hit,,,,,,,,,,,,,,,,,
7311,494.31801,0.0791,780601.75,493.7661,494,1,-10,234,979,0,,,No Hit,,,,,,,,,,,,,,,,,
7312,836.45018,0.0791,195074.22,835.5162,836,1,-4,484,980,28,,N1 O2 S1 ,,C,58,H,62,N,1,O,2,S,1,,,,,,,
7313,872.971,0.079,437459.29,871.9963,872,1,-10,4,981,0,,,No Hit,,,,,,,,,,,,,,,,,
7314,542.22602,0.0464,564952.73,541.6206,542,1,-4,379,982,0,,,No Hit,,,,,,,,,,,,,,,,,
7315,752.46082,0.0789,545837.09,751.6207,752,1,-4,379,982,0,,,No Hit,,,,,,,,,,,,,,,,,
7316,780.49207,0.041,342236.6,779.6206,780,1,-4,379,982,0,,,No Hit,,,,,,,,,,,,,,,,,
7317,670.59696,0.0595,357056.72,669.8482,670,1,-2,152,983,5,,N1 O1 S1 ,,C,44,H,80,N,1,O,1,S,1,,,,,,,
7318,894.8475,0.0789,126239.49,893.8484,894,1,-2,152,983,5,,N1 O1 S1 ,,C,60,H,112,N,1,O,1,S,1,,,,,,,
7319,718.0545,0.0788,510249.82,717.2528,718,1,-11,-253,984,46,,N1 O3 S1 ,,C,51,H,12,N,1,O,3,S,1,,,,,,,
7320,344.26106,0.0788,103284.94,343.8767,344,1,-6,123,985,0,,,No Hit,,,,,,,,,,,,,,,,,
7321,418.3407,0.0431,851787.28,417.8736,418,1,-2,126,986,0,,,No Hit,,,,,,,,,,,,,,,,,
7322,432.3564,0.0787,964809.04,431.8736,432,1,-2,126,986,0,,,No Hit,,,,,,,,,,,,,,,,,
7323,460.38772,0.0397,750506.17,459.8737,460,1,-2,126,986,0,,,No Hit,,,,,,,,,,,,,,,,,
7324,516.45028,0.0404,564513.26,515.8736,516,1,-2,126,986,0,,,No Hit,,,,,,,,,,,,,,,,,
7325,530.466,0.0548,579747.65,529.8737,530,1,-2,126,986,0,,,No Hit,,,,,,,,,,,,,,,,,
7326,544.48166,0.0404,557233.83,543.8737,544,1,-2,126,986,0,,,No Hit,,,,,,,,,,,,,,,,,
7327,572.51296,0.047,666053.56,571.8737,572,1,-2,126,986,0,,,No Hit,,,,,,,,,,,,,,,,,
7328,600.5443,0.0509,483108.56,599.8738,600,1,-2,126,986,0,,,No Hit,,,,,,,,,,,,,,,,,
7329,614.55987,0.0439,513179.01,613.8737,614,1,-2,126,986,0,,,No Hit,,,,,,,,,,,,,,,,,
7330,656.60667,0.038,176250.01,655.8735,656,1,-2,126,986,0,,,No Hit,,,,,,,,,,,,,,,,,
7331,506.25225,0.0401,791392,505.687,506,1,-12,313,987,17,,N1 O1 S1 ,,C,34,H,36,N,1,O,1,S,1,,,,,,,
7332,534.28355,0.0482,727138.6,533.687,534,1,-12,313,987,17,,N1 O1 S1 ,,C,36,H,40,N,1,O,1,S,1,,,,,,,
7333,548.29919,0.0465,600910.69,547.687,548,1,-12,313,987,17,,N1 O1 S1 ,,C,37,H,42,N,1,O,1,S,1,,,,,,,
7334,562.31481,0.0433,619212.19,561.687,562,1,-12,313,987,17,,N1 O1 S1 ,,C,38,H,44,N,1,O,1,S,1,,,,,,,
7335,576.33045,0.0451,672785.64,575.6869,576,1,-12,313,987,17,,N1 O1 S1 ,,C,39,H,46,N,1,O,1,S,1,,,,,,,
7336,590.34611,0.0509,557052.24,589.687,590,1,-12,313,987,17,,N1 O1 S1 ,,C,40,H,48,N,1,O,1,S,1,,,,,,,
7337,618.37745,0.0413,360312.1,617.687,618,1,-12,313,987,17,,N1 O1 S1 ,,C,42,H,52,N,1,O,1,S,1,,,,,,,
7338,632.39316,0.0468,557465.59,631.6871,632,1,-12,313,987,17,,N1 O1 S1 ,,C,43,H,54,N,1,O,1,S,1,,,,,,,
7339,646.40887,0.0601,703122.58,645.6871,646,1,-12,313,987,17,,N1 O1 S1 ,,C,44,H,56,N,1,O,1,S,1,,,,,,,
7340,744.51844,0.0787,476931.42,743.6871,744,1,-12,313,987,17,,N1 O1 S1 ,,C,51,H,70,N,1,O,1,S,1,,,,,,,
7341,438.26222,0.0424,901901.87,437.7729,438,1,-10,227,988,0,,,No Hit,,,,,,,,,,,,,,,,,
7342,452.27791,0.0787,898837.33,451.7729,452,1,-10,227,988,0,,,No Hit,,,,,,,,,,,,,,,,,
7343,908.26959,0.0785,255218.71,907.2555,908,1,-3,-256,989,38,,N1 O2 S3 ,,C,60,H,46,N,1,O,2,S,3,,,,,,,
7344,713.82396,0.0785,524913.24,713.0269,714,1,-1,-27,990,0,,,No Hit,,,,,,,,,,,,,,,,,
7345,742.13594,0.0785,385193.2,741.3073,742,1,-1,-307,991,32,,N1 O6 S2 ,,C,45,H,28,N,1,O,6,S,2,,,,,,,
7346,715.94593,0.0784,300202.4,715.1465,716,1,-13,-147,992,0,,,No Hit,,,,,,,,,,,,,,,,,
7347,814.05556,0.0473,203210.28,813.1466,814,1,-13,-147,992,0,,,No Hit,,,,,,,,,,,,,,,,,
7348,713.83976,0.0783,235222.24,713.0427,714,1,-1,-43,993,0,,,No Hit,,,,,,,,,,,,,,,,,
7349,770.31693,0.0783,293395.12,769.4568,770,1,-1,-457,994,23,,N1 O2 S3 ,,C,48,H,52,N,1,O,2,S,3,,,,,,,
7350,520.10862,0.0709,611749.8,519.5279,520,1,-12,472,995,16,,N1 O3 S3 ,,C,28,H,26,N,1,O,3,S,3,,,,,,,
7351,674.28068,0.0783,480255.45,673.5278,674,1,-12,472,995,16,,N1 O3 S3 ,,C,39,H,48,N,1,O,3,S,3,,,,,,,
7352,632.22444,0.0783,530315.72,631.5185,632,1,-12,481,996,0,,,No Hit,,,,,,,,,,,,,,,,,
7353,613.7511,0.0782,579645.96,613.0658,614,1,-3,-66,997,0,,,No Hit,,,,,,,,,,,,,,,,,
7354,892.36417,0.0782,507714.84,891.3678,892,1,-5,-368,998,37,,N1 O6 ,,C,61,H,50,N,1,O,6,,,,,,,,,
7355,593.69099,0.0782,321267.83,593.0281,594,1,-9,-28,999,0,,,No Hit,,,,,,,,,,,,,,,,,
7356,908.26101,0.0781,589559.95,907.2469,908,1,-3,-247,1000,0,,,No Hit,,,,,,,,,,,,,,,,,
7357,892.38291,0.0781,479159.05,891.3865,892,1,-5,-387,1001,36,,N1 O3 S1 ,,C,62,H,54,N,1,O,3,S,1,,,,,,,
7358,866.23722,0.0781,172242.3,865.27,866,1,-3,-270,1002,43,,N1 O4 S1 ,,C,60,H,36,N,1,O,4,S,1,,,,,,,
7359,668.7365,0.078,538732.42,667.9898,668,1,-4,10,1003,0,,,No Hit,,,,,,,,,,,,,,,,,
7360,480.17911,0.0523,690360.85,479.643,480,1,-10,357,1004,22,,N1 S1 ,,C,34,H,26,N,1,,,S,1,,,,,,,
7361,494.19477,0.056,762010.01,493.643,494,1,-10,357,1004,22,,N1 S1 ,,C,35,H,28,N,1,,,S,1,,,,,,,
7362,508.21036,0.064,697137.26,507.6429,508,1,-10,357,1004,22,,N1 S1 ,,C,36,H,30,N,1,,,S,1,,,,,,,
7363,522.22604,0.0725,624425.76,521.6429,522,1,-10,357,1004,22,,N1 S1 ,,C,37,H,32,N,1,,,S,1,,,,,,,
7364,536.24172,0.078,736992.6,535.643,536,1,-10,357,1004,22,,N1 S1 ,,C,38,H,34,N,1,,,S,1,,,,,,,
7365,564.27304,0.0647,608049.94,563.643,564,1,-10,357,1004,22,,N1 S1 ,,C,40,H,38,N,1,,,S,1,,,,,,,
7366,578.28869,0.073,668453.33,577.643,578,1,-10,357,1004,22,,N1 S1 ,,C,41,H,40,N,1,,,S,1,,,,,,,
7367,592.30432,0.0729,588206.07,591.643,592,1,-10,357,1004,22,,N1 S1 ,,C,42,H,42,N,1,,,S,1,,,,,,,
7368,606.32,0.0735,653151.76,605.643,606,1,-10,357,1004,22,,N1 S1 ,,C,43,H,44,N,1,,,S,1,,,,,,,
7369,620.33561,0.0708,590412.78,619.643,620,1,-10,357,1004,22,,N1 S1 ,,C,44,H,46,N,1,,,S,1,,,,,,,
7370,634.35137,0.0576,683050.63,633.6431,634,1,-10,357,1004,22,,N1 S1 ,,C,45,H,48,N,1,,,S,1,,,,,,,
7371,648.36701,0.0654,586022.73,647.6431,648,1,-10,357,1004,22,,N1 S1 ,,C,46,H,50,N,1,,,S,1,,,,,,,
7372,662.38262,0.0604,565720.98,661.643,662,1,-10,357,1004,22,,N1 S1 ,,C,47,H,52,N,1,,,S,1,,,,,,,
7373,676.3982,0.0619,557522.61,675.643,676,1,-10,357,1004,22,,N1 S1 ,,C,48,H,54,N,1,,,S,1,,,,,,,
7374,690.41391,0.0556,671825.46,689.643,690,1,-10,357,1004,22,,N1 S1 ,,C,49,H,56,N,1,,,S,1,,,,,,,
7375,704.42949,0.0496,502207.72,703.643,704,1,-10,357,1004,22,,N1 S1 ,,C,50,H,58,N,1,,,S,1,,,,,,,
7376,718.44517,0.0427,565858.91,717.643,718,1,-10,357,1004,22,,N1 S1 ,,C,51,H,60,N,1,,,S,1,,,,,,,
7377,732.46075,0.0516,592293.9,731.6429,732,1,-10,357,1004,22,,N1 S1 ,,C,52,H,62,N,1,,,S,1,,,,,,,
7378,746.47648,0.0439,462607.11,745.643,746,1,-10,357,1004,22,,N1 S1 ,,C,53,H,64,N,1,,,S,1,,,,,,,
7379,760.49214,0.0626,566769.91,759.643,760,1,-10,357,1004,22,,N1 S1 ,,C,54,H,66,N,1,,,S,1,,,,,,,
7380,774.50791,0.0458,507260.83,773.6431,774,1,-10,357,1004,22,,N1 S1 ,,C,55,H,68,N,1,,,S,1,,,,,,,
7381,788.52335,0.0474,540516.41,787.6429,788,1,-10,357,1004,22,,N1 S1 ,,C,56,H,70,N,1,,,S,1,,,,,,,
7382,886.54936,0.0779,462619.06,885.5595,886,1,-10,440,1005,0,,,No Hit,,,,,,,,,,,,,,,,,
7383,312.17704,0.0777,1206700.33,311.8285,312,1,-10,171,1006,0,,,No Hit,,,,,,,,,,,,,,,,,
7384,224.11471,0.0777,953582.88,223.8645,224,1,-14,136,1007,0,,,No Hit,,,,,,,,,,,,,,,,,
7385,758.02992,0.0381,592538.56,757.1835,758,1,-13,-184,1008,0,,,No Hit,,,,,,,,,,,,,,,,,
7386,898.18645,0.0775,329844.49,897.1836,898,1,-13,-184,1008,0,,,No Hit,,,,,,,,,,,,,,,,,
7387,613.75444,0.0775,317891.47,613.0691,614,1,-3,-69,1009,0,,,No Hit,,,,,,,,,,,,,,,,,
7388,742.12009,0.0775,332347.22,741.2915,742,1,-1,-292,1010,0,,,No Hit,,,,,,,,,,,,,,,,,
7389,854.45417,0.0774,172471.66,853.5001,854,1,-14,500,1011,0,,,No Hit,,,,,,,,,,,,,,,,,
7390,610.08069,0.0774,598634.16,609.3995,610,1,-7,-400,1012,0,,,No Hit,,,,,,,,,,,,,,,,,
7391,848.14391,0.0773,223970.41,847.1969,848,1,-7,-197,1013,60,,N1 ,,C,68,H,18,N,1,,,,,,,,,,,
7392,633.89703,0.0772,543137.89,633.1892,634,1,-11,-189,1014,0,,,No Hit,,,,,,,,,,,,,,,,,
7393,830.72616,0.0771,633194.12,829.7986,830,1,-10,201,1015,0,,,No Hit,,,,,,,,,,,,,,,,,
7394,848.52758,0.0771,324398.19,847.5802,848,1,-6,420,1016,22,,N1 S2 ,,C,58,H,74,N,1,,,S,2,,,,,,,
7395,176.10416,0.0771,2000687.22,175.9075,176,1,-6,92,1017,0,,,No Hit,,,,,,,,,,,,,,,,,
7396,474.50346,0.077,703015.7,473.9736,474,1,-2,26,1018,0,,,No Hit,,,,,,,,,,,,,,,,,
7397,512.32575,0.0429,1065161.5,511.7537,512,1,-6,246,1019,0,,,No Hit,,,,,,,,,,,,,,,,,
7398,540.35699,0.077,590211.24,539.7537,540,1,-6,246,1019,0,,,No Hit,,,,,,,,,,,,,,,,,
7399,568.38844,0.0461,648316.08,567.7538,568,1,-6,246,1019,0,,,No Hit,,,,,,,,,,,,,,,,,
7400,199.32113,0.0769,2152379.96,199.0986,200,1,-11,-99,1020,0,,,No Hit,,,,,,,,,,,,,,,,,
7401,332.15216,0.0769,1102847.65,331.7813,332,1,-4,219,1021,0,,,No Hit,,,,,,,,,,,,,,,,,
7402,808.6843,0.0602,361654.71,807.7814,808,1,-4,219,1021,0,,,No Hit,,,,,,,,,,,,,,,,,
7403,548.22604,0.0769,598040.68,547.6139,548,1,-12,386,1022,19,,N1 O3 S1 ,,C,35,H,34,N,1,O,3,S,1,,,,,,,
7404,330.22127,0.0769,1122459.25,329.8526,330,1,-6,147,1023,0,,,No Hit,,,,,,,,,,,,,,,,,
